"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\orderActions.js", "JavaScript", -41, 0, 0, 0, 0, 0, 0, -7, -48
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\productActions.js", "JavaScript", -39, 0, 0, 0, 0, 0, 0, -4, -43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\userActions.js", "JavaScript", -99, 0, 0, 0, 0, 0, 0, -15, -114
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\admin.js", "JavaScript", -141, 0, 0, 0, 0, 0, 0, -8, -149
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\cart.js", "JavaScript", -82, 0, 0, 0, 0, 0, -14, -12, -108
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\order.js", "JavaScript", -44, 0, 0, 0, 0, 0, 0, -6, -50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\products.js", "JavaScript", -43, 0, 0, 0, 0, 0, 0, -4, -47
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\user.js", "JavaScript", -39, 0, 0, 0, 0, 0, 0, -4, -43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\store.js", "JavaScript", -16, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\AdminScreen.jsx", "JavaScript JSX", 0, 0, -53, 0, 0, 0, -1, -8, -62
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\CartScreen.jsx", "JavaScript JSX", 0, 0, -86, 0, 0, 0, 0, -7, -93
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\CheckoutScreen.jsx", "JavaScript JSX", 0, 0, -32, 0, 0, 0, -1, -4, -37
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\LandingScreen.jsx", "JavaScript JSX", 0, 0, -78, 0, 0, 0, 0, -4, -82
